Completed Date,Task Title,Project Title
2020-09-17 15:32:35+00:00,"How Learning Works—Ch 5-7, Conclusion",ENGREDU 6200
2020-09-17 15:36:20+00:00,Q&A,ENGREDU 6200
2020-09-17 15:51:38+00:00,Class Summary,ENGREDU 6100
2020-09-17 17:32:41+00:00,Peer Review Personal Statements,ENGREDU 6100
2020-09-17 18:21:40+00:00,Reflection 1,ENGREDU 6100
2020-09-17 21:50:54+00:00,Finish Memo,EED
2020-09-17 23:58:10+00:00,"Streveler, Borrego, & Smith (2005)",ENGREDU 6100
2020-09-18 01:59:26+00:00,DeGraaf & Ravesteijn (2001),ENGREDU 6100
2020-09-18 15:53:55+00:00,Paper of Choice 3,ENGREDU 6100
2020-09-18 18:17:03+00:00,CHEER Chapter 3,ENGREDU 6100
2020-09-18 18:55:05+00:00,Convert Click Stream Plot to Histogram,Master's Project
2020-09-18 18:55:08+00:00,Make a Histogram for Key Presses,Master's Project
2020-09-18 19:09:19+00:00,Make Agenda for Meeting,Master's Project
2020-09-18 19:16:53+00:00,Craft 1:1 Agenda,EED
2020-09-18 22:55:27+00:00,Review 15 Papers,EED
2020-09-18 22:58:30+00:00,Track Writing Time,EED
2020-09-18 23:11:20+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-09-19 17:39:08+00:00,Craft CAREER Agenda,EED
2020-09-19 19:12:59+00:00,Course Facilitation—Experiential Learning,ENGREDU 6200
2020-09-19 19:35:05+00:00,Mess with Excel to Code Interview,EED
2020-09-19 20:18:26+00:00,Draft an Email to Dr. Guerrero,EED
2020-09-19 20:53:48+00:00,"Read (2.5, 3.2, 3.3, 3.5.1.1): https://link-springer-com.proxy.lib.ohio-state.edu/book/10.1007%2F978-1-4614-1126-0",Master's Project
2020-09-19 20:53:59+00:00,Find Phasic EDA Data,Master's Project
2020-09-21 15:15:10+00:00,Shitty First Draft of ASEE Abstract,EED
2020-09-21 17:55:58+00:00,Add minor tick marks to show window,Master's Project
2020-09-21 18:27:46+00:00,Make window adjustable,Master's Project
2020-09-21 18:59:53+00:00,Scale window to 10s,Master's Project
2020-09-21 19:13:20+00:00,Write about the project,Master's Project
2020-09-22 03:21:49+00:00,Chapter 2/4 of Understanding by Design,Inbox
2020-09-23 00:07:08+00:00,Post on Patreon,The Renegade Coder
2020-09-23 00:16:45+00:00,Post on Patreon,The Renegade Coder
2020-09-23 00:51:07+00:00,Post on Patreon,The Renegade Coder
2020-09-23 02:56:37+00:00,Understanding by Design Chapter 1,ENGREDU 6200
2020-09-23 14:44:16+00:00,"Knowing What Students Know, Chapter 1",ENGREDU 6200
2020-09-23 16:03:11+00:00,"Knowing What Students Know, Chapter 2",ENGREDU 6200
2020-09-23 17:25:15+00:00,Nedic & Nefalski (2011),ENGREDU 6100
2020-09-24 16:25:07+00:00,Find Missing Systematic Review Papers,EED
2020-09-24 16:25:42+00:00,Create diagram for Dissertation Club,EED
2020-09-25 16:32:40+00:00,Revise Personal Statement,ENGREDU 6100
2020-09-25 17:37:41+00:00,Reflection 2,ENGREDU 6100
2020-09-25 18:14:14+00:00,Class Summary,ENGREDU 6100
2020-09-25 21:02:07+00:00,Baillie (2006) [Excerpts],ENGREDU 6100
2020-09-25 21:30:03+00:00,Write about the project,Master's Project
2020-09-26 16:14:21+00:00,Bowen (2012) [Excerpts],ENGREDU 6100
2020-09-26 16:51:28+00:00,Augustine et al. [Excerpts],ENGREDU 6100
2020-09-26 17:28:28+00:00,Make Agenda for Meeting,Master's Project
2020-09-26 19:31:10+00:00,Complete IRB Revision,EED
2020-09-26 19:41:23+00:00,Craft CAREER Agenda,EED
2020-09-26 20:43:19+00:00,Review 15 Papers,EED
2020-09-28 15:31:44+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-09-28 15:39:53+00:00,What are Rubrics and How Can We Use Them?,ENGREDU 6200
2020-09-28 21:50:52+00:00,Track Writing Time,EED
2020-09-29 16:17:18+00:00,Q&A,ENGREDU 6200
2020-09-29 16:18:54+00:00,Learning Plan,ENGREDU 6200
2020-10-01 01:17:32+00:00,Update Newsletter,The Renegade Coder
2020-10-02 20:58:27+00:00,"Olds, Moskal, and Miller (2005)",ENGREDU 6200
2020-10-03 18:23:31+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-10-03 18:26:27+00:00,Q&A,ENGREDU 6200
2020-10-03 21:09:21+00:00,"Chubin, May, and Babco (2005)",ENGREDU 6100
2020-10-03 21:09:30+00:00,Review 15 Papers,EED
2020-10-04 19:36:29+00:00,Martin & Garza (2019),ENGREDU 6100
2020-10-04 19:57:11+00:00,Deloitte Reports,ENGREDU 6100
2020-10-04 20:14:35+00:00,Class Summary,ENGREDU 6100
2020-10-04 20:55:55+00:00,Write about the project,Master's Project
2020-10-04 21:05:22+00:00,Make Agenda for Meeting,Master's Project
2020-10-04 21:25:01+00:00,Track Writing Time,EED
2020-10-05 16:57:31+00:00,"Knowing What Students Know, Part 2",ENGREDU 6200
2020-10-05 19:22:50+00:00,Craft 1:1 Agenda,EED
2020-10-05 19:29:04+00:00,Craft CAREER Agenda,EED
2020-10-05 19:56:39+00:00,Paper of Choice 4,ENGREDU 6100
2020-10-05 23:16:56+00:00,Create Version 2 of ASEE SFD,EED
2020-10-06 02:26:27+00:00,Walther et al. (2011),ENGREDU 6100
2020-10-07 03:57:17+00:00,Jesiek et al. (2014),ENGREDU 6100
2020-10-08 21:36:03+00:00,Send out WhenIsGood to Zahra/Jeremy,Master's Project
2020-10-08 22:03:16+00:00,Figure out Name for IRB Amendment,EED
2020-10-09 16:53:08+00:00,Send Survey to Folks in BERG,EED
2020-10-09 18:08:36+00:00,Post on Patreon,The Renegade Coder
2020-10-09 18:18:32+00:00,Post on Patreon,The Renegade Coder
2020-10-09 18:20:30+00:00,Review 15 Papers,EED
2020-10-09 18:48:03+00:00,Post on Patreon,The Renegade Coder
2020-10-09 18:50:44+00:00,Post on Patreon,The Renegade Coder
2020-10-09 19:26:31+00:00,Post on Patreon,The Renegade Coder
2020-10-09 19:26:33+00:00,Post on Patreon,The Renegade Coder
2020-10-09 19:26:36+00:00,Post on Patreon,The Renegade Coder
2020-10-09 21:02:08+00:00,Class Summary,ENGREDU 6100
2020-10-09 21:09:11+00:00,Make Agenda for Meeting,Master's Project
2020-10-09 21:10:29+00:00,Craft CAREER Agenda,EED
2020-10-09 21:16:21+00:00,Track Writing Time,EED
2020-10-09 21:20:38+00:00,Paper of Choice 5,ENGREDU 6100
2020-10-10 18:49:06+00:00,Write about the project,Master's Project
2020-10-10 21:33:49+00:00,Read Black Student Experiences,ENGREDU 6100
2020-10-10 22:00:49+00:00,Come Up With a Way to Approach Black Students Experiences,ENGREDU 6100
2020-10-10 23:02:02+00:00,Reflection 3,ENGREDU 6100
2020-10-10 23:08:23+00:00,Peruse the Engineer of 2020 here,ENGREDU 6200
2020-10-10 23:33:12+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-10-10 23:33:21+00:00,Educating Engineers for 2020 and Beyond,ENGREDU 6200
2020-10-11 18:37:07+00:00,Calculate Range-Corrected Means for Every 2 Minute Interval,Master's Project
2020-10-11 19:10:07+00:00,Calculate Number of Peaks in Every 2 Minute Interval,Master's Project
2020-10-11 19:24:49+00:00,Q&A,ENGREDU 6200
2020-10-12 20:34:24+00:00,Instructional Plan #2,ENGREDU 6200
2020-10-12 20:44:59+00:00,Designing from a Blank Slate: The Development of the Initial Olin College Curriculum,ENGREDU 6200
2020-10-12 20:58:29+00:00,Synthesize Readings from Week 2 & 5 (two questions per week),ENGREDU 6100
2020-10-13 00:09:19+00:00,Generate Plan for Remainder of Semester,EED
2020-10-13 00:17:28+00:00,Flag Stuff in Protocol,EED
2020-10-13 19:14:11+00:00,"Knowing What Students Know, Part III",ENGREDU 6200
2020-10-14 00:00:52+00:00,Clough et al. (2005) [Excerpts],ENGREDU 6100
2020-10-14 00:27:44+00:00,Review Abstract,EED
2020-10-16 18:12:06+00:00,Track Writing Time,EED
2020-10-16 18:50:39+00:00,Submit ASEE Abstract,Inbox
2020-10-17 21:55:09+00:00,Make Agenda for Meeting,Master's Project
2020-10-17 22:26:55+00:00,Write about the project,Master's Project
2020-10-18 00:17:20+00:00,Generate graphs,Master's Project
2020-10-18 19:20:05+00:00,Craft 1:1 Agenda,EED
2020-10-18 19:25:14+00:00,Craft CAREER Agenda,EED
2020-10-18 23:31:54+00:00,Check Out Ledalab: http://www.ledalab.de/,Master's Project
2020-10-19 01:31:10+00:00,ABET,ENGREDU 6200
2020-10-19 01:31:10+00:00,Pedagogies of Engineering,ENGREDU 6200
2020-10-19 01:37:33+00:00,Q&A,ENGREDU 6200
2020-10-19 02:01:01+00:00,Class Summary,ENGREDU 6100
2020-10-19 02:01:06+00:00,Review 15 Papers,EED
2020-10-19 04:49:51+00:00,The Concept of Active Learning and the Measurement of Learning Outcomes,ENGREDU 6200
2020-10-20 16:11:48+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-10-21 17:23:39+00:00,Paper of Choice 6,ENGREDU 6100
2020-10-21 20:00:04+00:00,Midterm,ENGREDU 6100
2020-10-22 01:11:39+00:00,Write about the project,Master's Project
2020-10-22 02:29:15+00:00,Class Summary,ENGREDU 6100
2020-10-23 20:26:34+00:00,Review 15 Papers,EED
2020-10-23 21:51:02+00:00,Track Writing Time,EED
2020-10-24 22:14:35+00:00,Make Agenda for Meeting,Master's Project
2020-10-25 01:11:02+00:00,Draft strategic plan for ASEE,EED
2020-10-25 01:24:02+00:00,Craft CAREER Agenda,EED
2020-10-25 23:18:11+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-10-25 23:18:15+00:00,Q&A,ENGREDU 6200
2020-10-25 23:51:50+00:00,Bridging the Gaps between Engineering Education and Practice,ENGREDU 6200
2020-10-25 23:51:59+00:00,The Future of Engineering Education- Revisited  (Wankat and Bullard),ENGREDU 6200
2020-10-25 23:52:19+00:00,"The ABET “Professional Skills” – Can They Be Taught? Can They Be Assessed? (Shuman, Besterfield-Sacre, & McGourty)",ENGREDU 6200
2020-10-26 21:05:01+00:00,"Olds, Moskal, & Miller (2005)",ENGREDU 6100
2020-10-26 21:15:57+00:00,Rugarcia et al. (2000),ENGREDU 6100
2020-10-27 00:17:33+00:00,Adams et al. (2011),ENGREDU 6100
2020-10-28 01:32:01+00:00,Paper - Outline,ENGREDU 6100
2020-10-28 01:53:20+00:00,Brainstorm paper plans for semester,ENGREDU 6100
2020-10-29 18:38:47+00:00,Streveler & Smith (2006),ENGREDU 6100
2020-10-29 18:38:47+00:00,"Borrego, Douglas, & Amelink (2009)",ENGREDU 6100
2020-10-29 18:38:52+00:00,CHEER Conclusion,ENGREDU 6100
2020-10-29 18:39:10+00:00,Paper of Choice 7,ENGREDU 6100
2020-10-29 18:39:27+00:00,Peek at CPREE,EED
2020-10-29 18:42:36+00:00,Follow Forward Citations of Idalis's Paper,Master's Project
2020-10-29 18:42:39+00:00,Schedule a Meeting with Jeremy,Master's Project
2020-10-29 18:42:43+00:00,Calculate Latency,Master's Project
2020-10-29 18:42:48+00:00,Extract Phasic and Tonic Data,Master's Project
2020-10-29 21:26:11+00:00,Q&A,ENGREDU 6200
2020-10-29 21:26:11+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-10-29 21:33:09+00:00,Craft 1:1 Agenda,EED
2020-10-30 15:34:00+00:00,Reflection 4,ENGREDU 6100
2020-10-30 17:19:09+00:00,Riley (2017),ENGREDU 6100
2020-10-30 17:50:23+00:00,Contact Student Groups,EED
2020-10-30 19:01:13+00:00,Contact Potential Interviewees,EED
2020-10-30 19:14:08+00:00,Track Writing Time,EED
2020-10-31 00:19:00+00:00,Case & Light (2011),ENGREDU 6100
2020-10-31 00:19:03+00:00,Herman & Loewenstain (2017),ENGREDU 6100
2020-10-31 18:19:20+00:00,Update Newsletter,The Renegade Coder
2020-10-31 18:21:47+00:00,Make Agenda for Meeting,Master's Project
2020-10-31 18:59:38+00:00,Craft CAREER Agenda,EED
2020-10-31 19:09:28+00:00,Class Summary,ENGREDU 6100
2020-10-31 19:16:45+00:00,Lead class discussion,ENGREDU 6100
2020-10-31 20:14:54+00:00,Paper of Choice 8,ENGREDU 6100
2020-10-31 20:24:37+00:00,Jamieson & Lohmann (2009) [Skim],ENGREDU 6100
2020-10-31 20:24:43+00:00,Review 15 Papers,EED
2020-11-04 04:22:43+00:00,Write about the project,Master's Project
2020-11-04 04:46:58+00:00,Review 15 Papers,EED
2020-11-06 17:25:12+00:00,Send Draft of Defense to Zahra,Master's Project
2020-11-06 19:50:35+00:00,Track Writing Time,EED
2020-11-06 19:53:14+00:00,Double check IRB to make sure we can reach out to student groups at other universities,EED
2020-11-07 22:46:28+00:00,Nieusma & Riley (2010),ENGREDU 6100
2020-11-07 22:46:29+00:00,Pritchard & Baillie (2006),ENGREDU 6100
2020-11-07 22:46:29+00:00,Busby & Coeckelbergh (2003),ENGREDU 6100
2020-11-07 22:53:44+00:00,Any Questions?,ENGREDU 6200
2020-11-07 23:04:40+00:00,How to Teach (Almost) Anybody (Almost) Anything,ENGREDU 6200
2020-11-07 23:26:39+00:00,Decisions About Teaching,ENGREDU 6200
2020-11-07 23:26:41+00:00,Decisions About Teaching Presentation,ENGREDU 6200
2020-11-08 00:42:04+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-11-08 00:50:58+00:00,Q&A,ENGREDU 6200
2020-11-08 02:38:35+00:00,The Future of Engineering Education,ENGREDU 6200
2020-11-08 02:44:52+00:00,"Knowing What Students Know, Chapter 8",ENGREDU 6200
2020-11-08 02:50:05+00:00,Write about the project,Master's Project
2020-11-08 02:52:31+00:00,Class Summary,ENGREDU 6100
2020-11-08 02:54:12+00:00,Craft CAREER Agenda,EED
2020-11-08 03:01:02+00:00,Paper of Choice 9,ENGREDU 6100
2020-11-09 16:20:32+00:00,Make Agenda for Meeting,Master's Project
2020-11-09 18:39:04+00:00,Boyer at al. (1996),ENGREDU 6100
2020-11-10 02:42:23+00:00,Checkoway (2001),ENGREDU 6100
2020-11-10 05:16:41+00:00,Kezar (2004),ENGREDU 6100
2020-11-11 16:45:59+00:00,Make Agenda for Meeting,Master's Project
2020-11-12 04:43:41+00:00,Paper - 3 Page Draft,ENGREDU 6100
2020-11-15 16:30:23+00:00,Present Project,Master's Project
2020-11-15 16:30:25+00:00,Submit Project Defense for Review,Master's Project
2020-11-15 16:30:27+00:00,Meet Olga,EED
2020-11-15 17:40:29+00:00,Literature Trace,ENGREDU 6100
2020-11-15 18:04:01+00:00,Class Summary,ENGREDU 6100
2020-11-16 16:20:19+00:00,Paper of Choice 10,ENGREDU 6100
2020-11-16 16:57:29+00:00,Streveler et al.,ENGREDU 6200
2020-11-16 17:14:04+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-11-16 17:14:05+00:00,Q&A,ENGREDU 6200
2020-11-16 17:15:43+00:00,"Kollofel, B, & de Jong, T.",ENGREDU 6200
2020-11-16 17:36:22+00:00,Chi and Bassok,ENGREDU 6200
2020-11-16 17:43:13+00:00,Yadav et al,ENGREDU 6200
2020-11-17 03:10:28+00:00,Craft 1:1 Agenda,EED
2020-11-17 04:08:39+00:00,Generate over/under scenarios,EED
2020-11-17 04:26:38+00:00,Track Writing Time,EED
2020-11-19 01:35:20+00:00,Craft CAREER Agenda,EED
2020-11-19 01:35:24+00:00,Do ASEE Stuff,EED
2020-11-19 01:35:27+00:00,Make Defense Slides,Master's Project
2020-11-19 01:35:27+00:00,Recruitment Stuff,EED
2020-11-19 05:05:10+00:00,Write letter of recommendation for Shicong,Inbox
2020-11-20 02:47:15+00:00,Write letter of recommendation for Fan,Inbox
2020-11-20 19:37:09+00:00,Make Agenda for Meeting,Master's Project
2020-11-20 20:17:12+00:00,Reflection 5,ENGREDU 6100
2020-11-20 22:30:15+00:00,Send out recruitment emails,EED
2020-11-20 22:30:15+00:00,Update recruitment spreadsheet,EED
2020-11-20 23:47:44+00:00,Seminar Reflection,Inbox
2020-11-21 00:35:20+00:00,Track Writing Time,EED
2020-11-21 19:59:33+00:00,Write about the project,Master's Project
2020-11-21 19:59:36+00:00,Revise Report for Submission,Master's Project
2020-11-21 21:05:01+00:00,Online Delivery: https://www.insidehighered.com/digital-learning/blogs/online-trending-now/speedy-future-delivering-online-learning-5g-10g-confusion,ENGREDU 6200
2020-11-21 21:09:35+00:00,Faculty and Food Insecurity during Covid: https://hope4college.com/wp-content/uploads/2020/11/RC_FacultyReport.pdf,ENGREDU 6200
2020-11-21 22:29:09+00:00,Top Hat Online Student Survey: https://tophat.com/press-releases/student-sentiment-for-fall/,ENGREDU 6200
2020-11-21 22:36:54+00:00,Virtual Learning: https://www.fastcompany.com/90559185/prepare-for-a-blended-future-why-virtual-learning-is-here-to-stay,ENGREDU 6200
2020-11-21 22:40:26+00:00,Peer instruction – Online Learning: https://www.insidehighered.com/digital-learning/article/2020/11/03/power-active-learning-during-remote-instruction,ENGREDU 6200
2020-11-21 22:50:14+00:00,Faculty Pandemic Stress: https://www.insidehighered.com/news/2020/11/19/faculty-pandemic-stress-now-chronic,ENGREDU 6200
2020-11-21 22:59:51+00:00,Zoom Fatigue: https://www.insidehighered.com/advice/2020/04/22/professor-explores-why-zoom-classes-deplete-her-energy-opinion,ENGREDU 6200
2020-11-21 23:11:56+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-11-21 23:11:56+00:00,Q&A,ENGREDU 6200
2020-11-21 23:15:00+00:00,Class Summary,ENGREDU 6100
2020-11-22 20:31:36+00:00,Instructional Plan #3,ENGREDU 6200
2020-11-24 23:47:54+00:00,Craft CAREER Agenda,EED
2020-11-29 23:43:02+00:00,Manuscript Reviews for Seminar,EED
2020-11-30 00:01:42+00:00,Active Aggressor Response,EED
2020-11-30 00:23:53+00:00,Understanding and Interrupting Implicit Bias FY21,EED
2020-11-30 00:24:18+00:00,Make Agenda for Meeting,Master's Project
2020-11-30 20:16:46+00:00,Update Newsletter,The Renegade Coder
2020-11-30 20:16:57+00:00,Craft 1:1 Agenda,EED
2020-11-30 20:38:06+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-11-30 21:01:35+00:00,Q&A,ENGREDU 6200
2020-12-01 03:21:03+00:00,Post on Patreon,The Renegade Coder
2020-12-01 03:21:11+00:00,Papers of Choice,ENGREDU 6100
2020-12-01 03:43:47+00:00,Submit Travel Grant,EED
2020-12-01 03:44:00+00:00,Get Book: https://bookshop.org/books/the-undeserving-rich-american-beliefs-about-inequality-opportunity-and-redistribution-9781107027237/9781107699823,EED
2020-12-01 03:44:01+00:00,Get Book: https://bookshop.org/books/the-rise-of-the-meritocracy/9781560007043,EED
2020-12-01 22:56:46+00:00,Track Writing Time,EED
2020-12-01 22:57:20+00:00,Craft CAREER Agenda,EED
2020-12-02 22:11:24+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-12-02 22:11:27+00:00,Q&A,ENGREDU 6200
2020-12-02 22:11:33+00:00,"""So What?"" Reflection",ENGREDU 6200
2020-12-02 22:11:35+00:00,Q&A,ENGREDU 6200
2020-12-02 22:11:43+00:00,Roll Call Attendance,ENGREDU 6100
2020-12-03 05:33:31+00:00,Class Summary,ENGREDU 6100
2020-12-06 18:45:30+00:00,Take Antidepressant,Inbox
2020-12-06 18:45:48+00:00,Make Agenda for Meeting,Master's Project
2020-12-07 23:15:18+00:00,Take Antidepressant,Inbox
2020-12-07 23:22:42+00:00,Track Writing Time,EED
2020-12-08 18:10:14+00:00,Craft CAREER Agenda,EED
2020-12-08 19:06:17+00:00,Take Antidepressant,Inbox
2020-12-08 19:06:26+00:00,Class Summary,ENGREDU 6100
2020-12-09 19:17:47+00:00,Take Antidepressant,Inbox
2020-12-09 20:12:42+00:00,Paper - Final,ENGREDU 6100
2020-12-10 18:35:18+00:00,Video,ENGREDU 6100
2020-12-10 19:01:59+00:00,Take Antidepressant,Inbox
2020-12-15 18:07:35+00:00,Take Antidepressant,Inbox
2020-12-15 18:07:37+00:00,Track Writing Time,EED
2020-12-15 18:07:53+00:00,Craft 1:1 Agenda,EED
2020-12-16 19:45:16+00:00,Take Antidepressant,Inbox
2020-12-17 20:28:12+00:00,Take Antidepressant,Inbox
2020-12-31 18:35:45+00:00,Craft CAREER Agenda,EED
2020-12-31 18:35:47+00:00,Take Antidepressant,Inbox
2020-12-31 18:35:49+00:00,Track Writing Time,EED
2021-01-04 14:41:18+00:00,Update Newsletter,The Renegade Coder
2021-01-04 14:41:19+00:00,Track Writing Time,EED
2021-01-04 14:41:19+00:00,Take Antidepressant,Inbox
2021-01-04 14:50:00+00:00,Review 15 Papers,EED
2021-01-04 16:57:55+00:00,Track Work Time,EED
2021-01-04 17:54:29+00:00,Send Out Gift Cards,EED
2021-01-04 18:03:10+00:00,Write for ASEE,EED
2021-01-04 18:03:10+00:00,Schedule Article,The Renegade Coder
2021-01-04 18:22:02+00:00,Process Qualtrics Surveys,EED
2021-01-05 19:40:24+00:00,Take Antidepressant,Inbox
2021-01-05 19:40:27+00:00,Exercise,Inbox
2021-01-05 19:40:30+00:00,Track Work Time,EED
2021-01-05 19:40:32+00:00,Write for ASEE,EED
2021-01-06 18:10:41+00:00,Write for ASEE,EED
2021-01-06 18:10:41+00:00,Exercise,Inbox
2021-01-06 18:16:23+00:00,Track Work Time,EED
2021-01-06 19:10:57+00:00,Take Antidepressant,Inbox
2021-01-07 19:14:23+00:00,Take Antidepressant,Inbox
2021-01-07 19:48:36+00:00,Write for ASEE,EED
2021-01-07 19:48:36+00:00,Track Work Time,EED
2021-01-08 17:47:44+00:00,Track Writing Time,EED
2021-01-08 17:48:38+00:00,Write for ASEE,EED
2021-01-08 19:12:54+00:00,Take Antidepressant,Inbox
2021-01-08 20:37:04+00:00,Exercise,Inbox
2021-01-09 20:10:44+00:00,Take Antidepressant,Inbox
2021-01-10 20:27:17+00:00,Take Antidepressant,Inbox
2021-01-11 14:17:10+00:00,Track Work Time,EED
