Year,Season,Course,Question,Index,Group,Mean,Standard Deviation,Section
2023,Spring,CSE 2221,This course was intellectually stimulating,2,University,4.28,0.96,,
2023,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,University,4.49,0.85,,
2023,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,University,4.47,0.83,,
2023,Spring,CSE 2221,The instructor was well prepared,5,University,4.41,0.90,,
2023,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,University,4.47,0.87,,
2023,Spring,CSE 2221,I learned a great deal from this instructor,7,University,4.25,1.03,,
2023,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,University,4.33,0.97,,
2023,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,University,4.29,1.01,,
2023,Spring,CSE 2221,"Overall, I would rate this instructor as",10,University,4.41,0.95,,
2022,Autumn,CSE 2221,The subject matter of this course was well organized,1,Instructor,4.32,1.14,7116
2022,Autumn,CSE 2221,This course was intellectually stimulating,2,Instructor,4.52,0.85,7116
2022,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,Instructor,5,0,7116
2022,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,Instructor,4.9,0.3,7116
2022,Autumn,CSE 2221,The instructor was well prepared,5,Instructor,4.94,0.25,7116
2022,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,Instructor,4.97,0.18,7116
2022,Autumn,CSE 2221,I learned a great deal from this instructor,7,Instructor,4.9,0.4,7116
2022,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,Instructor,4.9,0.31,7116
2022,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,Instructor,4.94,0.25,7116
2022,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,Instructor,4.97,0.18,7116
2022,Autumn,CSE 2221,The subject matter of this course was well organized,1,Department,4.29,0.91,7116
2022,Autumn,CSE 2221,This course was intellectually stimulating,2,Department,4.25,0.94,7116
2022,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,Department,4.35,0.9,7116
2022,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,Department,4.34,0.88,7116
2022,Autumn,CSE 2221,The instructor was well prepared,5,Department,4.33,0.89,7116
2022,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,Department,4.36,0.92,7116
2022,Autumn,CSE 2221,I learned a great deal from this instructor,7,Department,4.17,1.03,7116
2022,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,Department,4.19,1,7116
2022,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,Department,4.17,1.03,7116
2022,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,Department,4.29,0.98,7116
2022,Autumn,CSE 2221,The subject matter of this course was well organized,1,College,4.26,0.96,7116
2022,Autumn,CSE 2221,This course was intellectually stimulating,2,College,4.23,0.98,7116
2022,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,College,4.43,0.87,7116
2022,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,College,4.39,0.85,7116
2022,Autumn,CSE 2221,The instructor was well prepared,5,College,4.34,0.91,7116
2022,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,College,4.44,0.88,7116
2022,Autumn,CSE 2221,I learned a great deal from this instructor,7,College,4.18,1.03,7116
2022,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,College,4.26,0.98,7116
2022,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,College,4.21,1.03,7116
2022,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,College,4.35,0.96,7116
2022,Autumn,CSE 2221,The subject matter of this course was well organized,1,University,4.31,0.94,7116
2022,Autumn,CSE 2221,This course was intellectually stimulating,2,University,4.24,0.98,7116
2022,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,University,4.47,0.86,7116
2022,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,University,4.44,0.83,7116
2022,Autumn,CSE 2221,The instructor was well prepared,5,University,4.39,0.91,7116
2022,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,University,4.47,0.87,7116
2022,Autumn,CSE 2221,I learned a great deal from this instructor,7,University,4.21,1.04,7116
2022,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,University,4.32,0.95,7116
2022,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,University,4.26,1.02,7116
2022,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,University,4.4,0.95,7116
2022,Spring,CSE 2221,The subject matter of this course was well organized,1,Instructor,4.17,1.1,25427
2022,Spring,CSE 2221,This course was intellectually stimulating,2,Instructor,4.29,0.94,25427
2022,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,Instructor,4.8,0.72,25427
2022,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,Instructor,4.74,0.78,25427
2022,Spring,CSE 2221,The instructor was well prepared,5,Instructor,4.63,0.77,25427
2022,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,Instructor,4.8,0.76,25427
2022,Spring,CSE 2221,I learned a great deal from this instructor,7,Instructor,4.63,0.81,25427
2022,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,Instructor,4.76,0.79,25427
2022,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,Instructor,4.63,0.81,25427
2022,Spring,CSE 2221,"Overall, I would rate this instructor as",10,Instructor,4.94,0.24,25427
2022,Spring,CSE 2221,The subject matter of this course was well organized,1,Department,4.28,0.91,25427
2022,Spring,CSE 2221,This course was intellectually stimulating,2,Department,4.22,0.94,25427
2022,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,Department,4.36,0.88,25427
2022,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,Department,4.33,0.87,25427
2022,Spring,CSE 2221,The instructor was well prepared,5,Department,4.32,0.89,25427
2022,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,Department,4.34,0.92,25427
2022,Spring,CSE 2221,I learned a great deal from this instructor,7,Department,4.16,1.02,25427
2022,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,Department,4.19,0.99,25427
2022,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,Department,4.17,1.01,25427
2022,Spring,CSE 2221,"Overall, I would rate this instructor as",10,Department,4.29,0.97,25427
2022,Spring,CSE 2221,The subject matter of this course was well organized,1,College,4.24,0.97,25427
2022,Spring,CSE 2221,This course was intellectually stimulating,2,College,4.26,0.95,25427
2022,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,College,4.46,0.85,25427
2022,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,College,4.43,0.82,25427
2022,Spring,CSE 2221,The instructor was well prepared,5,College,4.34,0.92,25427
2022,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,College,4.43,0.89,25427
2022,Spring,CSE 2221,I learned a great deal from this instructor,7,College,4.19,1.03,25427
2022,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,College,4.24,1.01,25427
2022,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,College,4.18,1.06,25427
2022,Spring,CSE 2221,"Overall, I would rate this instructor as",10,College,4.35,0.99,25427
2022,Spring,CSE 2221,The subject matter of this course was well organized,1,University,4.36,0.9,25427
2022,Spring,CSE 2221,This course was intellectually stimulating,2,University,4.3,0.94,25427
2022,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,University,4.51,0.83,25427
2022,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,University,4.48,0.81,25427
2022,Spring,CSE 2221,The instructor was well prepared,5,University,4.43,0.87,25427
2022,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,University,4.49,0.86,25427
2022,Spring,CSE 2221,I learned a great deal from this instructor,7,University,4.26,1.01,25427
2022,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,University,4.35,0.94,25427
2022,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,University,4.31,0.99,25427
2022,Spring,CSE 2221,"Overall, I would rate this instructor as",10,University,4.44,0.92,25427
2021,Autumn,CSE 2221,The subject matter of this course was well organized,1,Instructor,3.91,0.93,29428
2021,Autumn,CSE 2221,This course was intellectually stimulating,2,Instructor,4.31,0.74,29428
2021,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,Instructor,4.81,0.4,29428
2021,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,Instructor,4.84,0.37,29428
2021,Autumn,CSE 2221,The instructor was well prepared,5,Instructor,4.72,0.46,29428
2021,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,Instructor,4.91,0.3,29428
2021,Autumn,CSE 2221,I learned a great deal from this instructor,7,Instructor,4.63,0.61,29428
2021,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,Instructor,4.71,0.53,29428
2021,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,Instructor,4.69,0.54,29428
2021,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,Instructor,4.84,0.37,29428
2021,Autumn,CSE 2221,The subject matter of this course was well organized,1,Department,4.22,0.95,29428
2021,Autumn,CSE 2221,This course was intellectually stimulating,2,Department,4.18,0.96,29428
2021,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,Department,4.28,0.94,29428
2021,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,Department,4.29,0.88,29428
2021,Autumn,CSE 2221,The instructor was well prepared,5,Department,4.24,0.95,29428
2021,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,Department,4.28,0.95,29428
2021,Autumn,CSE 2221,I learned a great deal from this instructor,7,Department,4.07,1.07,29428
2021,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,Department,4.11,1.02,29428
2021,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,Department,4.09,1.04,29428
2021,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,Department,4.2,1.03,29428
2021,Autumn,CSE 2221,The subject matter of this course was well organized,1,College,4.26,0.94,29428
2021,Autumn,CSE 2221,This course was intellectually stimulating,2,College,4.2,0.98,29428
2021,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,College,4.41,0.85,29428
2021,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,College,4.39,0.83,29428
2021,Autumn,CSE 2221,The instructor was well prepared,5,College,4.34,0.91,29428
2021,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,College,4.43,0.85,29428
2021,Autumn,CSE 2221,I learned a great deal from this instructor,7,College,4.17,1.01,29428
2021,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,College,4.25,0.95,29428
2021,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,College,4.19,1.01,29428
2021,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,College,4.33,0.96,29428
2021,Autumn,CSE 2221,The subject matter of this course was well organized,1,University,4.33,0.92,29428
2021,Autumn,CSE 2221,This course was intellectually stimulating,2,University,4.24,0.97,29428
2021,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,University,4.48,0.84,29428
2021,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,University,4.44,0.83,29428
2021,Autumn,CSE 2221,The instructor was well prepared,5,University,4.4,0.89,29428
2021,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,University,4.47,0.86,29428
2021,Autumn,CSE 2221,I learned a great deal from this instructor,7,University,4.22,1.02,29428
2021,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,University,4.32,0.94,29428
2021,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,University,4.27,1.01,29428
2021,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,University,4.4,0.94,29428
2020,Spring,CSE 2221,The subject matter of this course was well organized,1,Instructor,4.03,1.15,11278
2020,Spring,CSE 2221,This course was intellectually stimulating,2,Instructor,4.45,0.74,11278
2020,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,Instructor,4.72,0.53,11278
2020,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,Instructor,4.69,0.47,11278
2020,Spring,CSE 2221,The instructor was well prepared,5,Instructor,4.66,0.55,11278
2020,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,Instructor,4.83,0.38,11278
2020,Spring,CSE 2221,I learned a great deal from this instructor,7,Instructor,4.62,0.82,11278
2020,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,Instructor,4.55,0.83,11278
2020,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,Instructor,4.48,0.83,11278
2020,Spring,CSE 2221,"Overall, I would rate this instructor as",10,Instructor,4.76,0.58,11278
2020,Spring,CSE 2221,The subject matter of this course was well organized,1,Department,4.27,0.92,11278
2020,Spring,CSE 2221,This course was intellectually stimulating,2,Department,4.21,0.95,11278
2020,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,Department,4.32,0.92,11278
2020,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,Department,4.35,0.86,11278
2020,Spring,CSE 2221,The instructor was well prepared,5,Department,4.31,0.9,11278
2020,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,Department,4.33,0.92,11278
2020,Spring,CSE 2221,I learned a great deal from this instructor,7,Department,4.1,1.06,11278
2020,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,Department,4.16,1,11278
2020,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,Department,4.13,1.06,11278
2020,Spring,CSE 2221,"Overall, I would rate this instructor as",10,Department,4.26,1.01,11278
2020,Spring,CSE 2221,The subject matter of this course was well organized,1,College,4.3,0.93,11278
2020,Spring,CSE 2221,This course was intellectually stimulating,2,College,4.27,0.94,11278
2020,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,College,4.45,0.85,11278
2020,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,College,4.43,0.81,11278
2020,Spring,CSE 2221,The instructor was well prepared,5,College,4.37,0.88,11278
2020,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,College,4.45,0.85,11278
2020,Spring,CSE 2221,I learned a great deal from this instructor,7,College,4.19,1.02,11278
2020,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,College,4.27,0.96,11278
2020,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,College,4.2,1.03,11278
2020,Spring,CSE 2221,"Overall, I would rate this instructor as",10,College,4.37,0.95,11278
2020,Spring,CSE 2221,The subject matter of this course was well organized,1,University,4.36,0.89,11278
2020,Spring,CSE 2221,This course was intellectually stimulating,2,University,4.29,0.93,11278
2020,Spring,CSE 2221,This instructor was genuinely interested in teaching,3,University,4.52,0.8,11278
2020,Spring,CSE 2221,The instructor encouraged students to think for themselves,4,University,4.48,0.8,11278
2020,Spring,CSE 2221,The instructor was well prepared,5,University,4.44,0.85,11278
2020,Spring,CSE 2221,The instructor was genuinely interested in helping students,6,University,4.5,0.83,11278
2020,Spring,CSE 2221,I learned a great deal from this instructor,7,University,4.25,1,11278
2020,Spring,CSE 2221,The instructor created an atmosphere conducive to learning,8,University,4.36,0.92,11278
2020,Spring,CSE 2221,The instructor communicated the subject matter clearly,9,University,4.3,0.98,11278
2020,Spring,CSE 2221,"Overall, I would rate this instructor as",10,University,4.45,0.91,11278
2019,Autumn,CSE 2221,The subject matter of this course was well organized,1,Instructor,4.57,0.59,35160
2019,Autumn,CSE 2221,This course was intellectually stimulating,2,Instructor,4.39,0.78,35160
2019,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,Instructor,4.87,0.34,35160
2019,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,Instructor,4.83,0.39,35160
2019,Autumn,CSE 2221,The instructor was well prepared,5,Instructor,4.74,0.54,35160
2019,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,Instructor,4.96,0.21,35160
2019,Autumn,CSE 2221,I learned a great deal from this instructor,7,Instructor,4.74,0.54,35160
2019,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,Instructor,4.87,0.34,35160
2019,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,Instructor,4.78,0.42,35160
2019,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,Instructor,4.91,0.29,35160
2019,Autumn,CSE 2221,The subject matter of this course was well organized,1,Department,4.25,0.95,35160
2019,Autumn,CSE 2221,This course was intellectually stimulating,2,Department,4.2,1,35160
2019,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,Department,4.31,0.95,35160
2019,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,Department,4.29,0.94,35160
2019,Autumn,CSE 2221,The instructor was well prepared,5,Department,4.28,0.97,35160
2019,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,Department,4.32,0.95,35160
2019,Autumn,CSE 2221,I learned a great deal from this instructor,7,Department,4.08,1.1,35160
2019,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,Department,4.14,1.04,35160
2019,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,Department,4.11,1.08,35160
2019,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,Department,4.24,1.02,35160
2019,Autumn,CSE 2221,The subject matter of this course was well organized,1,College,4.25,0.95,35160
2019,Autumn,CSE 2221,This course was intellectually stimulating,2,College,4.17,1.01,35160
2019,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,College,4.43,0.88,35160
2019,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,College,4.38,0.87,35160
2019,Autumn,CSE 2221,The instructor was well prepared,5,College,4.35,0.93,35160
2019,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,College,4.44,0.88,35160
2019,Autumn,CSE 2221,I learned a great deal from this instructor,7,College,4.15,1.05,35160
2019,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,College,4.22,1,35160
2019,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,College,4.18,1.05,35160
2019,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,College,4.36,0.96,35160
2019,Autumn,CSE 2221,The subject matter of this course was well organized,1,University,4.27,0.96,35160
2019,Autumn,CSE 2221,This course was intellectually stimulating,2,University,4.18,1.02,35160
2019,Autumn,CSE 2221,This instructor was genuinely interested in teaching,3,University,4.46,0.88,35160
2019,Autumn,CSE 2221,The instructor encouraged students to think for themselves,4,University,4.4,0.88,35160
2019,Autumn,CSE 2221,The instructor was well prepared,5,University,4.38,0.93,35160
2019,Autumn,CSE 2221,The instructor was genuinely interested in helping students,6,University,4.44,0.9,35160
2019,Autumn,CSE 2221,I learned a great deal from this instructor,7,University,4.17,1.07,35160
2019,Autumn,CSE 2221,The instructor created an atmosphere conducive to learning,8,University,4.28,0.99,35160
2019,Autumn,CSE 2221,The instructor communicated the subject matter clearly,9,University,4.22,1.06,35160
2019,Autumn,CSE 2221,"Overall, I would rate this instructor as",10,University,4.37,0.96,35160
2019,Spring,CSE 1223,The subject matter of this course was well organized,1,Instructor,4.47,0.97,8282
2019,Spring,CSE 1223,This course was intellectually stimulating,2,Instructor,4.53,0.97,8282
2019,Spring,CSE 1223,This instructor was genuinely interested in teaching,3,Instructor,4.67,0.8,8282
2019,Spring,CSE 1223,The instructor encouraged students to think for themselves,4,Instructor,4.57,0.94,8282
2019,Spring,CSE 1223,The instructor was well prepared,5,Instructor,4.53,0.9,8282
2019,Spring,CSE 1223,The instructor was genuinely interested in helping students,6,Instructor,4.63,0.89,8282
2019,Spring,CSE 1223,I learned a great deal from this instructor,7,Instructor,4.55,0.95,8282
2019,Spring,CSE 1223,The instructor created an atmosphere conducive to learning,8,Instructor,4.59,0.95,8282
2019,Spring,CSE 1223,The instructor communicated the subject matter clearly,9,Instructor,4.53,0.97,8282
2019,Spring,CSE 1223,"Overall, I would rate this instructor as",10,Instructor,4.77,0.63,8282
2019,Spring,CSE 1223,The subject matter of this course was well organized,1,Department,4.22,0.98,8282
2019,Spring,CSE 1223,This course was intellectually stimulating,2,Department,4.16,1.01,8282
2019,Spring,CSE 1223,This instructor was genuinely interested in teaching,3,Department,4.3,0.96,8282
2019,Spring,CSE 1223,The instructor encouraged students to think for themselves,4,Department,4.28,0.94,8282
2019,Spring,CSE 1223,The instructor was well prepared,5,Department,4.26,0.98,8282
2019,Spring,CSE 1223,The instructor was genuinely interested in helping students,6,Department,4.31,0.95,8282
2019,Spring,CSE 1223,I learned a great deal from this instructor,7,Department,4.07,1.1,8282
2019,Spring,CSE 1223,The instructor created an atmosphere conducive to learning,8,Department,4.13,1.03,8282
2019,Spring,CSE 1223,The instructor communicated the subject matter clearly,9,Department,4.09,1.09,8282
2019,Spring,CSE 1223,"Overall, I would rate this instructor as",10,Department,4.24,1.02,8282
2019,Spring,CSE 1223,The subject matter of this course was well organized,1,College,4.2,0.99,8282
2019,Spring,CSE 1223,This course was intellectually stimulating,2,College,4.2,0.98,8282
2019,Spring,CSE 1223,This instructor was genuinely interested in teaching,3,College,4.38,0.92,8282
2019,Spring,CSE 1223,The instructor encouraged students to think for themselves,4,College,4.35,0.9,8282
2019,Spring,CSE 1223,The instructor was well prepared,5,College,4.29,0.96,8282
2019,Spring,CSE 1223,The instructor was genuinely interested in helping students,6,College,4.38,0.93,8282
2019,Spring,CSE 1223,I learned a great deal from this instructor,7,College,4.12,1.07,8282
2019,Spring,CSE 1223,The instructor created an atmosphere conducive to learning,8,College,4.17,1.03,8282
2019,Spring,CSE 1223,The instructor communicated the subject matter clearly,9,College,4.13,1.07,8282
2019,Spring,CSE 1223,"Overall, I would rate this instructor as",10,College,4.3,1.01,8282
2019,Spring,CSE 1223,The subject matter of this course was well organized,1,University,4.26,0.98,8282
